,Topic,Subject,Question,Answer
0,Metadatos,Metadata,What is the term for a collection of information that accompanies data?,Metadata is a collection of information that accompanies data.
1,Prolog,Prologue,In what language will we write a program?,"In this tutorial, we will be learning how to write a program in the Prolog language."
2,Grafo,Grafo,What is the name of the mathematician who is involved in graph theory?,Graph theory is a branch of mathematics that deals with the relationship between data and people.
3,Smart data,Smart data,What term is used to describe data that is ready to be used but not yet ready for use?,"The term ""smart data"" is used to describe data that is ready to be used, but which is not yet ready for use."
4,Autoencoder,Autoencoder,What is the research group developing?,The research group in this project is developing an autoencoder for the decoding of audio signals.
5,Modelos generativos,Generative models,What type of model can distinguish between real and synthetic examples?,The aim of this paper is to show how a type of artificial intelligence called arative model can discriminate between real and synthetic examples.
6,Computación Ecológica,Green Computing,"What is the name of the project at the University of California, Berkeley?","The Green Computing Project at the University of California, Berkeley, is a collaboration between the Berkeley Research Foundation and the Computation and Communications Research Institute (CMRI) at the University of California, Davis."
7,Bot,Bot,What is a computer program capable of performing repetitive tasks?,A bot is a computer program capable of performing repetitive tasks.
8,Sobreajuste,Overadjustment,What can happen to AI models that are too good at identifying examples of different types of objects?,A new study suggests that artificial intelligence (AI) models that are too good at identifying examples of different types of objects can be overfitted.
9,Turing completo,Turing completo,What is a good idea for a computer?,"In this video, mathematician and computer scientist, Dr. John-Paul Sartre, explains why a Turing Complete system is a good idea."
10,Máquina de Turing,Turing Machine,What is a machine that can solve problems that are difficult to solve with a computer?,The Turing machine is a machine that can solve problems that are difficult to solve with a computer.
11,Agente inteligente,Intelligent agent,What are machines that are intelligent and can learn and improve?,Intelligent agents are machines that are intelligent and can learn and improve.
12,Árbol de Merkle,Árbol de Merkle,What is the name of the blockchain?,Hash trees are a new type of data structure that can be used to store data in Blockchain.
13,Test de Turing,Test the Turing,What test did DeepMind pass?,"The BBC reports that a computer called DeepMind has passed the Turing Test, but only after being tricked into thinking it was a human."
14,Función Hash,Hash function,What is a mathematical function that transforms a set of data into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
15,Aprendizaje federado,Federated learning,What type of learning is described in this article?,This article describes the techniques used in Federated Learning.
16,Realidad aumentada,Augmented reality,What is the latest technology used in the construction industry?,The latest technology in augmented reality is being used in the construction industry.
17,Internet de las Cosas (IoT),Internet of Things (IoT),What does Tomi Oladipo look at?,"The BBC's technology correspondent, Tomi Oladipo, looks at the future of the internet of things."
18,Árbol,Tree,What will we learn to use in Java?,In this course we will be learning how to use a tree in the Java programming language.
19,Modelo,Model,What is the name of the tool used to train an artificial intelligence?,This paper describes how to train an artificial intelligence model on a dataset of values.
20,Tabla Hash,Hash Table,What is a very useful tool for searching for data?,Hash Table is a very useful tool for searching for data.
21,Xenobot,Xenobot,What is the name of the latest living robot created in the lab?,"Meet the Xenobots, the latest in a long line of living robots that have been created in the lab."
22,Aprendizaje automático,Automatic learning,What does Sue Perkins explain?,"The BBC's artificial intelligence expert, Sue Perkins, explains how machine learning works."
23,Subajuste,Subajuste,What is the term for the failure to identify a pattern in a model?,"In this article, I will be talking about a very common problem in computer science - the failure to identify a pattern in a model."
24,Metaverso,Metaverse,What could virtual reality be used to explore?,"Virtual reality could soon be used to explore metaverses, according to a new study."
25,Unidad de Procesamiento Gráfico (GPU),Graphics Processing Unit (GPU),What does the acronym GPU stand for?,The GPU (Graphics Processing Unit) is a piece of computer equipment that is used to process data.
26,Aprendizaje por refuerzo,Reinforcement learning,What type of learning can be used in robotics?,A new report by the US National Research Council (NRC) has described how reinforcement learning can be used in robotics.
27,Árbol de decisión,Decision tree,What is an important part of learning?,The tree is a very important part of any learning process.
28,Sugar code,Sugar code,What do you learn to write using?,"In this video, you will learn how to write code using sugar."
29,Reglas de asociación,Rules of association,What do the following examples show how to use in statistics?,The following examples show how to use association rules in statistics.
30,Ciencia de datos,Data science,What term is used by many universities and research institutions to describe the study of data?,The term Data Science has been used by many universities and research institutions to describe the study of data.
31,Blockchain,Blockchain,What is the new way of doing business?,The Blockchain technology is a new way of doing business.
32,Variables dummy,Variables dummy,What type of variable will we create in C?,In this article we will be looking at how to create a dummy variable in C.
33,Big data,Big data,What does Tomi Oladipo explain the importance of?,"In this episode of the BBC's Big Data podcast, BBC technology correspondent Tomi Oladipo explains the importance of Big Data."
34,Algoritmo,Algorithm,What is the name of the algorithm used to make croquette?,How do you make a croquette from a packet of ham?
